אלמכ'תאר פי אלאמאנאת	(المختار في) الأمانات
. וארי אן אדכ'ר ג'זאיאת	. وأرى أن أذكر جزئيات
מן צחת אלכ'בר , לולא	من صحّة الخبر , لولا
אן אלנפוס תסכן אלי אן	أنَّ النفوس تسكن إلى أنَّ
פי אלדניא כ'ברא צחיחא	في الدنيا خبرًا صحيحًا
לם יכון אלאנסאן ירג'ו	لم يكن الإنسان يرجو
מא סבילה אן ירג'וה ממא	ما سبيله أن يرجوه ممّا
יבשר בה מן צלאח אלתג'ארה	يبشّر به من صلاح التجارة
אלפלאניה ואלנפע פי אלצנאעה	الفلانية *والنفع في الصناعة
אלפלאניה , אד' קוהֿ אלאנסאן	الفلانية , إذ قوّة الإنسان
וחאג'תה מוצ'ועה עלי אלתכסב	وحاجته موضوعة على التكسّب
, ולם יכן איצ'א יכ'אף	, ولم يكن أيضًا يخاف
מא יחד'ר מנה מן פסאד	ما يحذر منه من فساد
אלטריק אלפלאני , ומן	الطريق الفلاني , ومن
אלנדא באלמנע מן אלעמל	النداء بالمنع من العمل
אלפלאני מא לם ירג' ויכ'ף	الفلاني ما لم *يرج ويخف
תפסד עליה . . . . . .	فسدت عليه . . . . . .
ולו לם יוצ'ע פי אלדניא	ولو لم يوضع في الدنيا
כ'בר צחיח כאן אלנאס לא	خبر صحيح كان الناس لا
יקבלון אמר סלטאנהם ולא	يقبلون أمر سلطانهم ولا
נהיה אלא פי וקת מא ירונה	نهيه إلاّ في وقت ما يرونه
בעיונהם וסימעון כלאמה	بعيونهم ويسمعون كلامه
באד'אנהם , מתי גאב ענהם	بآذانهم , متى غاب منهم
ארתפע מנהם קבול אמרה	ارتفع منهم قبول أمره
ונהיה כאן כד'לך לבטל	ونهيه ولوكان كذلك لبطل
אלתדביר והלך כת'יר מן	التدبير وهلك كثير من
אלנאס . ולולא אן פי אלדניא	الناس . ولولا أنَّ في الدنيا
כ'ברא צחיחא לם יחצל ללאנסאן	خبرًا صحيحًا لم يحصل للإنسان
אן הד'א מלך אביה ואן	أنَّ هذا ملك أبيه *وأنَّ
הד'א ארת' ג'דה , בל לם	هذا إرث جدّه , بل لم
יחצל ללאנסאן אנה אבן	يحصل للإنسان أنه ابن
אמה פצ'לא ען יכון אבן	أمّه فضلاً عن يكون ابن
אביה ת'ם כאנת אמור אלנאס	أبيه ثمَّ كانت أمور الناس
לא תזאל פי שכוך חתי לא	لا تزال في شكوك حتى لا
יצדקוא אלא במא וקע עליה	يصدّقوا إلاّ بما وقع عليه
חסהם פי וקת וקועה פקט	حسّهم في وقت وقوعه فقط
. והד'א אלמד'הב קריב	. وهذا المذهب قريب
מן קול אלמתג'אהלין אלד'ין	من قول المتجاهلين الذي
ד'כרנאה פי אלמקאלה אלאולי	ذكرناه في المقالة الأولى
. וקד קאלת אלכתב אן ללכ'בר	. وقد قالت الكتب إنَّ للخبر
אלצאדק צחה כצחהֿ אלשי	الصادق صحّة كصحّة الشيء
אלמדרך עיאנא , ד'אך קולהא	المدرك عيانًا , ذاك قولها
H : H : H H H H H H H	H : H : H H H H H H H
ולמא זאד פי באב אלכ'בר	ولمَ زاد في باب الخبر
H H פאקול אן אלכ'בר קד	H H فأقول إنَّ الخبر قد
יקע פיה פסאד מא ליס יקע	يقع فيه فساد ما ليس يقع
פי אלמחסוס מן ג'התין	في المحسوس من جهتين
אחדאהמא מן טריק אלט'ן	إحداهما من طريق الظنّ
, ואלאכ'רי מן טריק אלתעמד	, والأخرى من طريق التعمّد
פלד'לך קאל H H . פענד	فلذلك قال H H מאד فعند
אג'תהאדנא פי הד'ין אלאמרין	اجتهادنا في هذين الأمرين
כיף נאמן אלכ'בר עליהמא	كيف نأمن الخبر عليهما
וג'דנא פי אלעקל אן אלט'ן	وجدنا في العقل أنَّ الظنّ
ואלתעמד לא יקעאן פיכ'פיאן	والتعمّد لا يقعان فيخفيان
אלא מן אלפראד ואמא אלג'מאעה	إلاّ من الفراد وأما الجماعة
אלכת'ירה פאן ט'נונהם	الكثيرة فإنَّ ظنونهم
לא תתפק , לכנהם אן תעמדוא	لا تتّفق , لكنّهم إنْ تعمّدوا
ותואטוא עלי אבדאע כ'בר	وتواطؤوا على إبداع خبر
לם יכ'ף ד'לך עלי אלמלא	لم يخف ذلك على الملأ
מנהם , בל יכון כ'ברהם	منهم , بل يكون خبرهم
אלי חית' מא כ'רג' יכ'רג'	إلى حيث ما خرج يخرج
מעה כ'בר תואטיהם פאד'א	معه خبر تواطئهم فإذا
סלם אלכ'בר מן הד'ין פלא	سلم الخبر من هذين فلا
וג'ה ת'אלת' יוג'ב פסאדה	وجه ثالث يوجب فساده
. פאד'א ערץ' כ'בר אבאינא	. فإذا عرض خبر آبائنا
עלי הד'ה אלאצול וג'דה	على هذه الأصول وجده
אלעארץ' סלימא מן הד'ה	العارض سليمًا من هذه
אלמטאען צחיחא ת'אבתא	المطاعن صحيحًا ثابتًا
. ואד' קד קדמת הד'ה אלאמור	. وإذ قد قدّمت هذه الأمور
פארי אן אתבע הד'ה אלאקואל	فأرى أن اتبع هذه الأقوال
באלכלאם פי נסך' אלשרע	بالكلام في نسخ الشرع
פאן הד'א מוצ'עה , ואקול	فإنَّ هذا موضعه , وأقول
, נקלוא בנו אסראיל נקלא	, نقلوا بنو إسرائيل نقلاً
ג'אמעא אן שראיע אלתוריה	جامعًا إنَّ شرائع التورية
קאלת להם אלאנביא ענהא	قالت لهم الأنبياء عنها
אנהא לא תנסך' וקאלוא	إنها لا تُنسخ وقالوا
אן סמענא ד'לך בקול פציח	إن سمعنا ذلك بقول فصيح
ירתפע ענה כל והם וכל	يرتفع عنه كلّ وهم وكلّ
תאויל . ת'ם תבינת אלכתב	تأويل . ثمَّ بيَّنت الكتب
פוג'דת מא ידל עלי ד'לך	فوجدتُ ما يدلّ على ذلك
אולא : אן כת'ירא מן אלשראיע	أولاً : إنَّ كثيرًا من الشرائع
מכתוב פיהא H H ומכתוב	مكتوب فيها H H ومكتوب
פיהא H ואיצ'א לקול אלתוריה	فيها H وأيضًا لقول التورية
H : H : H H H ואיצ'א	H : H : H H H وأيضًا
לאן אמתנא בני אסראיל	لأنَّ أمّتنا *بني إسرائيل
אנמא הי אמה בשראיעהא	إنما هي أمّة بشرائعها
, פאד'א קאל אלכ'אלק אן	, فإذا قال الخالق إنَّ
אלאמה תקים מא קאמת אלסמא	الأمّة تقيم ما قامت السَّماء
ואלארץ' פבאלצ'רורה שראיעהא	والأرض *فبالضرورة شرائعها
מקימה מא אקאמת אלסמא	مقيمة ما أقامت السَّماء
ואלארץ' , וד'לך קולה	والأرض , وذاك قوله
H : H : H H H H H , H	H : H : H H H H H , H
H H H H H H H H H H H	H H H H H H H H H H H
H H H H H H H H H H H	H H H H H H H H H H H
H , H H H H . וראית פי	H , H H H H . ورأيت في
אכ'ר אלנבואת ינץ עלי	آخر النبوّات ينصّ على
חפט' תוריהֿ מוסי אלי	حفظ تورية موسى إلى
יום אלקיאמה ובעת'הֿ H	يوم القيامة وبعثة H
קבלה , ד'אך קולה H :	قبله , ذاك قوله H :
H H : H H H H H H H H	H H : H H H H H H H H
H H H H H H H H H H .	H H H H H H H H H H .
וראית קומא מן אמתנא יחתג'ון	ورأيت قومًا من أمّتنا يحتجّون
לדפע נסך' אלשרע עלי טריק	لدفع نسخ الشرع على طريق
אלעמום ויקולון , לא יכ'לו	العموم ويقولون , لا يخلو
אלשרע אד'א שרעה אללה	الشرع إذا شرّعه الله
מן אחדי ארבע כ'לאל אמא	من إحدى أربع خَلال إمّا
אן יפצח בה אנה מאבד פד'אך	أن يفصح به أنه مؤبّد فذاك
לא יג'וז אן ינסך' ואמא	لا يجوز أن يُنسخ وإمّا
אן יג'עלה ג'זאי אלזמאן	أن يجعله جزئيّ الزمان
כאנה יקול אעמלוא הד'א	كأنه يقول اعملوا هذا
מאיהֿ סנה , פחלה פי מדהֿ	مائة سنة , فحلّه في مدّة
, אלמאיה פקד תם , פלא	, المائة فقد تمّ , فلا
יקע עליה נסך' . או יכון	يقع عليه نسخ . أو يكون
מצ'מנא במכאן כאנה יקול	مضمّنًا بمكان كأنه يقول
אעמלוא הד'א במצר , פפי	اعملوا هذا بمصر , ففي
מצר לא יג'וז אן ינסכ'ה	مصر لا يجوز أن ينسخه
, ואן אמר בגירה פי גיר	, وإن أمر بغيره في غير
מצר פליס ינסך' . או מעללא	مصر فليس بنسخ . أو معللاً
בעלה כאנה יקול אעמלוא	بعلّة كأنه يقول اعملوا
הד'א לאן מא אלניל יג'רי	هذا لأنَّ ماء النيل يجري
, פקבל אן יקף מא אלניל	, فقبل أن يقف ماء النيل
לא יג'וז חלה פאן אמר	لا يجوز حلّه فإن أمر
בגירה בעד וקוף אלמא פליס	بغيره بعد وقوف الماء فليس
ינסך' לה . פאד'א קיל	بنسخ له . فإذا قيل
להם וההנא קסם כ'אמס והו	لهم وههنا قسم خامس وهو
אלשרע אלד'י לם יחד לה	الشرع الذي لم يحدّ له
זמאנא פלא יזאל אלנאס	زمانًا فلا يزال الناس
יעמלון בה אלי אן יומרוא	يعملون به إلى أن يؤمروا
בגירה , יקולון והד'א	بغيره , يقولون وهذا
איצ'א לו כאן לכאן ג'זאי	أيضًا لو كان لكان جزئيّ
אלזמאן , לאן אלמדה תכון	الزمان , لأنَّ المدّة تكون
מערופה אמא ענד אללה פעלי	معروفة أمّا عند الله فعلى
חקיקתהא ואמא ענד אלנאס	حقيقتها وأمّا عند الناس
פאלי וקת אלאמר אלת'אני	فإلى وقت الأمر الثاني
, פעלי אלחאלין ג'מיעא	, فعلى الحالين جميعًا
יבטל אלנסך' במציר זמאן	يبطل النسخ بمصير زمان
אלשרע ג'זאיא פי אלעקל	الشرع جزئيًّا في العقل
מן אול אלאמר בה . ובעץ'	من أول الامر به . وبعض
יקול הד'א אלקסם אלכ'אמס	يقول هذا القسم الخامس
לא יכון , לאן שרח אלכלי	لا يكون , لأنَّ شرح الكلّي
ואלג'זאי אנמא צארא ללא	والجزئيّ إنما صارا لئلاّ
יבקי שי מבהמא . וראית	يبقى شيء مبهمًا . ورأيت
למן יג'יז אלנסך' פי הד'א	لمن يجيز النسخ في هذا
אלמעני סבעה אקואל יזעם	المعنى سبعة أقوال يزعم
אנהא נט'ריה ואן כלהא	أنها نظرية وأنَّ كلّها
ג'זאיה פארי את'בתהא ואת'בת	جزئية فأرى أُثبتها وأُثبت
מא עליהא מן אלרד , ואקול	ما عليها من الردّ , وأقول
, אולהא : קיאסה עלי אלחיוה	, أوّلها : قياسه على الحيوة
ואלמות יקול כמא ג'אז	والموت يقول كما جاز
אן יחיי בחכמה וימית בחכמה	أن يحيي بحكمة ويميت بحكمة
. כד'אך ג'אז אן ישרע	. كذاك جاز أن يشرع
בחכמה וינסך' בחכמה .	بحكمة وينسخ بحكمة .
פתבינת אן בינהמא אלפרק	فتبيَّنت أنَّ بينها الفرق
אלכביר , לאנה אנמא אחיי	الكبير , لأنه إنما أحيى
לימית , אד' אלמות טריק	ليميت , إذ الموت طريق
אלנקלה אלי אלאכ'רה אלתי	النقلة إلى الآخرة التي
הי אלקצד , וליס אנמא	هي القصد , وليس إنما
שרע לינסך' , לאן אלשרע	شُرَّع ليُنسخ , لأنَّ الشرع
לו כאן אנמא שרע לינסך'	لو *كان إنما شرع ليُنسخ
לם יכון בד לכל שרע מן	لم يكن بدّ لكلّ شرع من
אן ינסך' פינסך' אלאול	أن يُنسخ فيُنسخ الأول
באלת'אני , באלת'אלת אלי	بالثاني , بالثالث إلى
מא לא נהאיה לה , והד'א	ما لا نهاية له , وهذا
באטל . ומע ד'אך לו כאן	باطل . ومع ذاك لو كان
הד'א הכד'י לכאן פי אלשרע	هذا هكذا لكان في الشرع
אלת'אני אבדא תצ'אד ומנאקצ'ה	الثاني أبدًا تضادّ ومناقضة
, ושרח ד'לך , אן אלשרע	, وشرح ذلك , أنَّ الشرع
אלת'אני יכון לגרץ' גירה	الثاني يكون لغرض غيره
לאנה שרע , והכד'י חכם	لأنه شرع , وهكذا حكم
כל שרע , ויכון הו אלגרץ'	كلّ شرع , ويكون هو الغرض
לאנה נאסך' ללאול , והכד'י	لأنه ناسخ للأول , وهكذا
חכם כל נאסך' אן יכון	حكم كل ناسخ أن يكون
הו אלגרץ' לאנה נאסך'	هو الغرض لأنه ناسخ
ללאול . והו קול פיה דקה	للأول . وهو قول فيه دقّة
. ואלת'אני קיאסה עלי	. والثاني قياسة على
אמאתהֿ אלמשרוע עליהם	أمانة المشروع عليهم
וזואל אלשרע ענהם באלמות	وزوال الشرع عنهم بالموت
פראית אן אלמות לם יכון	فرأيت أنَّ الموت لم يك
לה בד מן רפע אלשרע ען	له بدّ من رفع الشرع عن
אלמותי ، אד' לא יקע עליהם	الموتى ، إذ لا يقع عليهم
אמר ולא נהי , פלא יקאס	أمر ولا نهي , فلا يقاس
מא מנה בד עלי מא לא בד	ما منه بدّ على ما لا بدّ
מנה , פאן לם יכון בד	منه , فإن لم يكن بدّ
מן אלנסך' איצ'א עאד אלתצ'אד	من النسخ أيضًا عاد التضادّ
אלד'י ד'כרתה מע אלנסך'	الذي ذكرته مع النسخ
לכל שרע . ואלת'אלת' קיאסה	لكلّ شرع . والثالث قياسة
עלי מן יעמל פי יום ויסבת	على من يعمل في يوم ويسبت
פי אכ'ר , ויצום פי יום	في آخر , ويصوم في يوم
ויפטר פי אכ'ר , והד'א	ويفطر في آخر , وهذا
איצ'א טריק אלצ'רורה ,	أيضًا طريق الضرورة ,
לאן אלאנסאן למא לם יכון	لأنَّ الإنسان لما لم يكون
פי טאקתה אן יצום כל יום	في طاقته أن يصوم كل يوم
ולא אן יסבת כל יום לם	ولا أن يسبت كلّ يوم لم
יג'ז אן יכלפה אלחכים	يجز أن يكلّفه الحكيم
ד'לך , ואלשרע פימכן אלאנסאן	ذلك , والشرع فيمكن الإنسان
אן יעמל בה פי כל עצר	أن يعمل به في كلّ عصر
. ואלראבע קיאסה עלי מא	. والرابع قياسة على ما
יגני ויפקר , יבצר ויעמי	يغني ويفقر , يبصر ويعمي
, ואנה יפעל כל ואחד מנהמא	, أنه يفعل كلّ واحد منهما
פי אלוקת אלאצלח אן יפעלה	في الوقت الأصلح أن يفعله
פיה , ותבינת בעד מא בין	فيه , وتبيّنت بعد ما بين
הד'ה אלאשיא , לאן ג'מיע	هذه الأشياء , لأنَّ جميع
אלסעאדאת קד ג'עלהא מן	السعادات قد جعلها من
ג'זא אלטאעה , וג'מיע	جزاء الطاعة , وجميع
אלעד'אב קד ג'עלה מן ג'זא	العذاب قد جعله من جزاء
אלמעאצי ואמא אלשרע פלם	المعاصي وأمّا الشرع فلم
יג'עלה ג'זא לא עלי טאעה	يجعله جزاء لا على طاعة
ולא עלי מעציה , ולו אדעי	ولا على معصية , ولو ادّعى
ד'לך מדע לאפסדה אלשרע	ذلك مدّعٍ لأفسده الشرع
אלאול לאסתחאלתה אן יכון	الأول لاستحالته أن يكون
ג'זא לשי תקדמה , אד'	جزاء لشيء تقدّمه , إذ
לא שרע קבלה . ואלכ'אמס	لا شرع قبله . والخامس
קיאסה עלי אחמראר אלבסרה	قياسة على احمرار البسرة
בעד כ'צ'רתהא ומא אשבה	بعد خضرتها وما أشبه
ד'לך והד'ה כלהא תצפחתהא	ذلك وهذه كلّها تصفّحتها
פאד'א הי ואג'בה אמא באלבניה	فإذا هي واجبة إمّا بالبنية
באלטבע או באלתעויד ,	بالطبع أو بالتعويد ,
ואלשרע פליס הו כד'אך	والشرع فليس هو كذاك
, לאנה לו כאן כד'אך לוג'ב	, لأنه لو كان كذاك لوجب
נסך' כל שרע ועאד אלתצ'אד	نسخ كلّ شرع وعاد التضادّ
. ואלסאדס קאל כמא כאן	. والسادس قال كما كان
אלעמל פי אלסבת מבאחא	العمل في السبت مباحًا
פי אלעקל פנסכ'ה אלסמע	في العقل فنسخه السمع
באלאמסאך , כד'י יג'וז	بالإمساك , كذى يجوز
אן ירדה סמע אכ'ר אלי	أن يردّه سمع آخر إلى
אבאחתה . פאקול פי הד'א	إباحته . فأقول في هذا
אלמעני , אנמא כאן הד'א	المعنى , إنما كان هذا
אלקיאס יתם לו כאן אלעקל	القياس يتمّ لو كان العقل
אוג'ב אלעמל פי יום אלסבת	أوجب العمل في يوم السبت
, פכאן יקאל חיניד' אן	, فكان يقال حينئذ إنَّ
אלסמע נסך' ד'לך אלואג'ב	السمع نسخ ذلك الواجب
, ואמא אלאבאחה פלא ,	, وأمّا الإباحة فلا ,
לאן אלאנסאן לם יזל ירי	لأنَّ الإنسان لم يزل يرى
בעקלה אנה יג'וז לה אן	بعقله أنه يجوز له أن
יבטל פי יום אלסבת וגירה	يُبطل في يوم السبت وغيره
, אמא לראחהֿ בדנה או	, إمّا لراحة بدنه أو
לנפע יג'תלבה או להמא	لنفع يجتلبه أو لهما
ג'מיעא , והכד'י ג'א אלסמע	جميعًا , وهكذا جاء السمع
מא כאן ג'איזא פי עקלה	بما كان جائزًا في عقله
, פאקל לה אלסבת ראחה	, فقال له السبت راحة
לבדנך ולתכסב פי ד'לך	لبدنك ولتكسب في ذلك
נפעא ות'ואבא , ולם ינסך'	نفعًا وثوابًا , ولم ينسخ
שיא ועלי אנה ג'עלה מובדא	شيئًا وعلى أنه جعله مؤبّدًا
, יג'וז פי עקלה אן יאמרה	, يجوز في عقله أن يأمره
חכים באן יתבטל פי יום	حكيم بأن يتبطّل في يوم
בעינה פיעטיה לכל יום	بعينه فيعطيه لكلّ يوم
דינארא . ואלסאבע קאל	دينارًا . والسابع قال
כמא ג'אז אן תכון שריעהֿ	كما جاز أن تكون شريعة
מוסי גיר שריעהֿ אברהים	موسى غير شريعة إبراهيم
ג'אז אן תכון שריעה גיר	جاز أن تكون شريعة غير
שריעהֿ מוסי . ואד'א נט'רנא	شريعة موسى . وإذا نظرنا
שריעהֿ מוסי וג'דנאהא	شريعة موسى وجدناها
שריעהֿ אברהים עלי אלחקיקה	شريعة إبراهيم على الحقيقة
, ואנמא זיד אלפטיר ואלסבת	, وإنما زيّد الفطير والسبت
לחואדת' חדת'ת עלי קומה	لحوادث حدثت على قومه
, כמן יתכ'לץ פי יום ינד'רה	, كمن يتخلّص في يوم ينذره
צומא דאימא , פאד'א אסתקאם	صومًا دائمًا , فإذا استقام
לה הד'א מן תלקא נפסה	له هذا من تلقاء نفسه
אסתקאם אן ינצבה לה רבה	استقام أن ينصبه له ربّه
. פאן כאנת אלזיאדה נסכ'א	. فإن كانت الزيادة نسخًا
פמן תנפל בצלוה H H H	فمَن تنفَّل بصلوة H H H
H פקד נסך' שריעתה , ואן	H فقد نسخ شريعته , وإن
כאן צאחב אלשרע אבאחה	كان صاحب الشرع إباحة
ד'לך פקד אבאחה אן ינסך'	ذلك فقد أباحه أن ينسخ
שריעתה , ותלזמה קיאסאתה	شريعته , وتلزمه قياساته
אלאואיל מת'ל ד'לך . פהד'ה	الأوائل مثل ذلك . فهذه
כלהא ירחמך אללה שואגל	كلّها رحمك الله شواغل
לם ית'בת מנהא ענד אלנט'ר	لم يثبت منها عند النظر
שי . ובעד הד'ה אלסבעה	شيء . وبعد هذه السبعة
ארי אן את'בת קולא להם	أرى أن أُثبتُ قولاً لهم
יתסע פיה אלכלאם , וד'לך	يتّسع فيه الكلام , وذلك
אנהם יקולון כמא כאן אלתצדיק	أنهم يقولون كما كان التصديق
במוסי אקאמתה אלאיאת ואלבראהין	بموسى إقامته الآيات والبراهين
, כד'י יג'ב אן יכון סבב	, كذى يجب أن يكون سبب
אלתצדיק בגירה אקאמתה	التصديق بغيره إقامته
אלאיאת ואלבראהין . פתעג'בת	الآيات والبراهين . فتعجّبتُ
ענד סמעי הד'א עג'בא כת'ירא	عند سمعي هذا عجبًا كثيرًا
, וד'לך אן סבב תצדיקנא	, وذلك أنَّ سبب تصديقنا
במוסי לם יכון אלאיאת	*بموسى لم يكن الآيات
אלמעג'זאת פקט , ואנמא	المعجزات فقط , وإنما
סבב תצדיקנא בה ובכל נבי	سبب تصديقنا به وبكلّ نبيّ
אן ידעונא אולא אלי מא	أن يدعونا أولاً إلى ما
הו ג'איז פאד'א סמענא	هو جائز فإذا سمعنا
דעואה וראינאהא ג'איזה	دعواه ورأيناها جائزة
טאלבנאה באלבראהין עליהא	طالبناه بالبراهين عليها
, פאד'א אקאמהא אמנא בה	, فإذا أقامها آمنّا به
, ואן סמענא דעואה מן	, وإن سمعنا دعواه من
אולהא גיר ג'איזה לם נטלב	أولها غير جائزة لم نطلب
מנה בראהין אד' לא ברהאן	منه براهين إذ لا برهان
עלי ממתנע וסביל הד'ין	على ممتنع وسبيل هذين
כסביל H H יקפאן בין ידי	كسبيل H H يقفان بين يدي
חאכם , פאן אדעי H עלי	حاكم , فإن ادّعى H على
H מא יג'וז מת'לה כאנה	H ما يجوز مثله كأنه
יקול לי קבלה אלף דרהם	يقول لي قبله ألف درهم
, אלתמס מנה אלחאכם בינה	, التمس منه الحاكم بيّنة
פאד'א קאמת לה וג'ב לה	فإذا قامت له وجب له
אלמאל . פאן אדעי עליה	المال . فإن ادّعى عليه
מא לא יג'וז כאנה יקול	ما لا يجوز كأنه يقول
לי קבלה דג'לה כאנהֿ דעואה	لي قبله دجلة كانت دعواه
מן אצלהא סאקטה אד' לא	من أصلها ساقطة إذ لا
ימלך אחד דג'לה , ולם	يملك أحد دجلة , ولم
יג'ז אן ילתמס אלחאכם	يجز أن يلتمس الحاكم
מנה בינה עלי ד'לך . כד'אך	منه بيّنة على ذلك . كذاك
אלסביל מע כל מדעי נבוה	السبيل مع كلّ مدّعي نبوّة
, אן קאל לנא רבי יאמרכם	, إن قال لنا ربّي يأمركم
אן תצומוא אליום אלתמסנא	أن تصوموا اليوم التمسنا
מנה עלאמהֿ אלרסאלה פאד'א	منه علامة الرسالة فإذا
אראנאהא קבלנא וצמנא ואן	أراناها قبلنا وصمنا وإن
קאל אן רבי יאמרכם באלזנא	قال إنَّ ربّي يأمركم بالزناء
ואלסרק , או יכ'ברכם באנה	والسرق , أو يخبركم بأنه
יאתי באלטופאן אלמא ,	يأتي بالطوفان الماء ,
או יערפכם באנה כ'לק אלסמא	أو يعرّفكم بأنه خلق السَّماء
ואלארץ' פי סנה בלא תאויל	والأرض في سنة بلا تأويل
, לם נלתמס מנה עלאמה	, لم نلتمس منه علامة
, אד' דעאנא אלי מא לא	, إذ دعانا إلى ما لا
יג'וז עקלא או כ'ברא .	يجوز عقلاً أو خبرًا .
ולקד זאד בעצ'הם עלי הד'א	ولقد زاد بعضهم على هذا
אלקול פקאל , פראית אן	القول فقال , فرأيت إن
הו לם ילתפת אלינא ואשהדנא	هو لم يلتفت إلينا وأشهدنا
אלאיאת ואלבראהין פראינאהא	الآيات والبراهين فرأيناها
צ'רורה מא אלד'י נקול	ضرورة ما الذي نقول
לה חיניד' ? , פאג'בת	له حينئذ ? , فأجبتُ
באנא נקול חיניד' כמא	بأنّا نقول حينئذ كما
נקול כלנא פי מן שאהד	نقول كلّنا في من شاهد
אלאיאת ואלבראהין עלי	الآيات والبراهين على
תרך מא פי עקולנא מן אסתחסאן	ترك ما في عقولنا من استحسان
אלצדק ואסתקבאח אלכד'ב	الصدق واستقباح الكذب
ומא אשבההמא . פלג'א אלי	*وما أشبهها . فلجأ إلى
אן קאל באן אסתקבאח אלכד'ב	أن قال بأنَّ استقباح الكذب
ואסתחסאן אלצדק ליס מן	واستحسان الصدق ليس من
טריק אלעקל ואנמא המא	طريق العقل وإنما هما
מן ג'ההֿ אלאמר ואלנהי	من جهة الامر والنهي
, וכד'לך אנכאר אלקתל	, وكذلك إنكار القتل
ואלזנא ואלסרק ומא אשבההם	والزناء والسرق وما أشبههم
פלמא כ'רג' אלי הד'ה אלאמור	فلمّا خرج إلى هذه الأمور
כפת מאונתה וכפית מכאלמתה	خفّت مؤونته وكفيتُ مكالمته
. ומנהם מן יחתג' ללנסך'	. ومنهم من يحتجّ للنسخ
בפואסיק מן , פארי אן	بفواسيق من , فأرى أن
את'בתהא ואת'בת מא יקול	أُثبتُها وأُثبتُ ما *يقول
פיהא ומא עליהא . פאלאול	فيها وما عليها . فالأول
קול אלתוריה H : H : H	قول التورية H : H : H
H H H H H H H H H H והד'ה	H H H H H H H H H H وهذه
אלת'לאת'ה אסמא לג'בל	الثلاثة أسماء لجبل
סיני , וד'לך אן כל ג'בל	سيناء , وذلك أنَّ كلّ جبل
יכון ממתדא בחד'א בלדאן	يكون ممتدًّا بحذاء بلدان
פאסמאהא תקטעה באלאסמא	فأسماءها تقطعه بالأسماء
במא תסמי כל קטעה מנה	بما تسمّى كل قطعة منه
באסם אלבלד אלד'י יקאבלהא	باسم البلد الذي يقابلها
, כמא אן אלבחר ואחד ואלבלדאן	, كما أنَّ البحر واحد والبلدان
אלמקאבלה לה תכסבה אסמא	المقابلة له تكسبه أسماء
כת'ירה באיזא כל בלד ,	كثيرة بإزاء كلّ بلد ,
כד'לך H H הו ג'בל יקאבל	كذاك H H هو جبل يقابل
H H H , אד' הו עלי שביה	H H H , إذ هو على شبيه
בכ'ט מסתקים פהו יסמי	بخطّ مستقيم فهو يسمّى
באסם ת'לת'תהא , ואלדליל	باسم ثلثتها , والدليل
עלי אן H H ילתקיאן קולה	على أنَّ H H يلتقيان قوله
H : H : H H H H H H H	H : H : H H H H H H H
H . ואלדליל עלי אן H	H . والدليل على أن H
H יתצלאן קולה : H H H	H يتّصلان قوله : H H H
H H H H H H H . ווג'דת	H H H H H H H . ووجدت
פי סאיר אלכתב אן ישאר	في سائر الكتب أنَّ يشار
בה אלי הו קול אלכתאב	به إلى هو قول الكتاب
: H H H H H H H H H H	: H H H H H H H H H H
H H . פזאד קום וקאלוא	H H . فزاد قوم وقالوا
פאנה בעד מא קאל H H H	فإنه بعد ما قال H H H
עלי אללפט' אלמאצ'י קאל	على اللفظ الماضي قال
H : H : H H H H עלי אללפט'	H : H : H H H H على اللفظ
אלאתי , פתבינת אן אלתעדיד	الآتي , فتبيَّنتُ أنَّ التعديد
אד'א וקע צאר בעץ' אלחרוף	إذا وقع صار بعض الحروف
מאצ'יא ובעצ'הא כאנה את	ماضيًا وبعضها كأنه آت
, כמא עדד כ'טא אבאינא	, كما عدّد خطاء آبائنا
פי אלבריה : H H H H H	في البرية : H H H H H
. . . H H H . . H H H	. . . H H H . . H H H
וחכי בעצ'הא בקול כאנה	وحكى بعضها بقول *كأنه
את H H H H H H H , והמא	آت H H H H H H H , وهما
כאנהמא אתיאן והמא מאצ'יאן	كأنهما آتيان وهما ماضيان
עלי אלחקיקה , לאן כד'י	على الحقيقة , لأنَّ كذى
סביל אלשאכר אן יקול יחסן	سبيل الشاكر أن يقول يحسن
אלי וינפעני ויברני וסביל	إلي وينفعني ويبرّني وسبيل
אלמט'לום אלשאכי אן יקול	المظلوم الشاكي أن يقول
יט'למני ויכ'ונני ויתעדי	يظلمني ويخونني ويتعدّى
עלי . ואלפית קומא יקולון	عليّ . وألفيتُ قومًا يقولون
מן הו הד'א אלד'י קיל	مَن هو هذا الذي قيل
ענה H : H : H H H H H	عنه H : H : H H H H H
פערפתהם אנה ואן הד'ה	فعرّفتهم أنه وأنَّ هذه
אלוקעה כאנת עלי עהד לאן	الوقعة كانت على عهد لأنَّ
כאן פי זמאנה , פלמא גזאה	كان في زمانه , فلمّا غزاه
H : H H H H כמא הו משרוח	H : H H H H كما هو مشروح
פי H H צאם וצלי ודעא	في H H صام وصلّى ودعا
רבה כמא הו מבין , פבעת'	ربّه كما هو مبيَّن , فبعث
אליה בסבב אולאיך כקולה	إليه بسبب أولائك كقوله
H H H H H H H H H H H	H H H H H H H H H H H
H H H H H H H H פקאל	H H H H H H H H فقال
להם קומוא אנתם נאחיה	لهم قوموا أنتم ناحية
